Self-playing 100000 games with the heuristic solver…

  50/100000  (0.8s)   
  100/100000  (1.7s)   
  150/100000  (2.0s)   
  200/100000  (2.5s)   
  250/100000  (3.0s)   
  300/100000  (3.9s)   
  350/100000  (4.5s)   
  400/100000  (5.2s)   
  450/100000  (5.7s)   
  500/100000  (6.6s)   
  550/100000  (7.0s)   
  600/100000  (7.7s)   
  650/100000  (8.1s)   
  700/100000  (8.7s)   
  750/100000  (8.9s)   
  800/100000  (9.6s)   
  850/100000  (10.0s)   
  900/100000  (10.5s)   
  950/100000  (10.9s)   
  1000/100000  (11.8s)   
  1050/100000  (12.1s)   
  1100/100000  (12.8s)   
  1150/100000  (13.2s)   
  1200/100000  (13.7s)   
  1250/100000  (14.3s)   
  1300/100000  (14.6s)   
  1350/100000  (15.1s)   
  1400/100000  (15.7s)   
  1450/100000  (16.3s)   
  1500/100000  (16.9s)   
  1550/100000  (17.2s)   
  1600/100000  (17.8s)   
  1650/100000  (18.4s)   
  1700/100000  (19.0s)   
  1750/100000  (19.9s)   
  1800/100000  (20.3s)   
  1850/100000  (20.8s)   
  1900/100000  (21.1s)   
  1950/100000  (21.7s)   
  2000/100000  (22.2s)   
  2050/100000  (22.9s)   
  2100/100000  (23.4s)   
  2150/100000  (23.8s)   
  2200/100000  (24.2s)   
  2250/100000  (24.8s)   
  2300/100000  (25.5s)   
  2350/100000  (26.1s)   
  2400/100000  (26.5s)   
  2450/100000  (27.1s)   
  2500/100000  (27.4s)   
  2550/100000  (27.9s)   
  2600/100000  (28.5s)   
  2650/100000  (29.0s)   
  2700/100000  (29.5s)   
  2750/100000  (29.9s)   
  2800/100000  (30.7s)   
  2850/100000  (31.2s)   
  2900/100000  (31.6s)   
  2950/100000  (32.1s)   
  3000/100000  (32.7s)   
  3050/100000  (33.1s)   
  3100/100000  (33.9s)   
  3150/100000  (34.6s)   
  3200/100000  (34.9s)   
  3250/100000  (35.5s)   
  3300/100000  (36.0s)   
  3350/100000  (36.3s)   
  3400/100000  (36.7s)   
  3450/100000  (37.4s)   
  3500/100000  (38.0s)   
  3550/100000  (38.8s)   
  3600/100000  (39.2s)   
  3650/100000  (40.0s)   
  3700/100000  (40.3s)   
  3750/100000  (40.8s)   
  3800/100000  (41.7s)   
  3850/100000  (42.0s)   
  3900/100000  (42.4s)   
  3950/100000  (42.9s)   
  4000/100000  (43.6s)   
  4050/100000  (44.0s)   
  4100/100000  (44.6s)   
  4150/100000  (45.3s)   
  4200/100000  (45.9s)   
  4250/100000  (46.4s)   
  4300/100000  (46.9s)   
  4350/100000  (47.5s)   
  4400/100000  (48.0s)   
  4450/100000  (48.4s)   
  4500/100000  (49.0s)   
  4550/100000  (49.4s)   
  4600/100000  (49.9s)   
  4650/100000  (50.3s)   
  4700/100000  (50.9s)   
  4750/100000  (51.3s)   
  4800/100000  (51.8s)   
  4850/100000  (52.1s)   
  4900/100000  (52.8s)   
  4950/100000  (53.4s)   
  5000/100000  (53.7s)   
  5050/100000  (54.2s)   
  5100/100000  (54.8s)   
  5150/100000  (55.5s)   
  5200/100000  (55.8s)   
  5250/100000  (56.4s)   
  5300/100000  (57.0s)   
  5350/100000  (57.6s)   
  5400/100000  (58.0s)   
  5450/100000  (58.5s)   
  5500/100000  (59.0s)   
  5550/100000  (59.4s)   
  5600/100000  (60.0s)   
  5650/100000  (60.4s)   
  5700/100000  (61.0s)   
  5750/100000  (61.7s)   
  5800/100000  (62.3s)   
  5850/100000  (62.8s)   
  5900/100000  (63.5s)   
  5950/100000  (63.8s)   
  6000/100000  (64.1s)   
  6050/100000  (64.5s)   
  6100/100000  (65.4s)   
  6150/100000  (65.8s)   
  6200/100000  (66.6s)   
  6250/100000  (67.1s)   
  6300/100000  (67.7s)   
  6350/100000  (68.4s)   
  6400/100000  (69.1s)   
  6450/100000  (69.9s)   
  6500/100000  (70.3s)   
  6550/100000  (71.0s)   
  6600/100000  (71.6s)   
  6650/100000  (71.9s)   
  6700/100000  (72.4s)   
  6750/100000  (73.0s)   
  6800/100000  (73.7s)   
  6850/100000  (74.1s)   
  6900/100000  (74.9s)   
  6950/100000  (75.2s)   
  7000/100000  (75.7s)   
  7050/100000  (76.0s)   
  7100/100000  (77.6s)   
  7150/100000  (78.6s)   
  7200/100000  (79.0s)   
  7250/100000  (80.0s)   
  7300/100000  (80.6s)   
  7350/100000  (81.3s)   
  7400/100000  (81.8s)   
  7450/100000  (82.4s)   
  7500/100000  (82.8s)   
  7550/100000  (83.2s)   
  7600/100000  (83.9s)   
  7650/100000  (84.4s)   
  7700/100000  (84.8s)   
  7750/100000  (85.4s)   
  7800/100000  (85.8s)   
  7850/100000  (86.2s)   
  7900/100000  (86.9s)   
  7950/100000  (87.3s)   
  8000/100000  (87.8s)   
  8050/100000  (88.3s)   
  8100/100000  (88.8s)   
  8150/100000  (89.5s)   
  8200/100000  (90.3s)   
  8250/100000  (90.6s)   
  8300/100000  (91.2s)   
  8350/100000  (91.7s)   
  8400/100000  (92.2s)   
  8450/100000  (92.6s)   
  8500/100000  (92.9s)   
  8550/100000  (93.3s)   
  8600/100000  (93.8s)   
  8650/100000  (94.4s)   
  8700/100000  (95.0s)   
  8750/100000  (95.5s)   
  8800/100000  (96.3s)   
  8850/100000  (97.3s)   
  8900/100000  (97.8s)   
  8950/100000  (98.2s)   
  9000/100000  (98.6s)   
  9050/100000  (99.2s)   
  9100/100000  (99.8s)   
  9150/100000  (100.3s)   
  9200/100000  (100.8s)   
  9250/100000  (101.4s)   
  9300/100000  (101.9s)   
  9350/100000  (102.3s)   
  9400/100000  (102.8s)   
  9450/100000  (103.2s)   
  9500/100000  (103.6s)   
  9550/100000  (104.1s)   
  9600/100000  (104.8s)   
  9650/100000  (105.2s)   
  9700/100000  (105.8s)   
  9750/100000  (106.3s)   
  9800/100000  (106.9s)   
  9850/100000  (107.5s)   
  9900/100000  (108.1s)   
  9950/100000  (108.6s)   
  10000/100000  (109.0s)   
  10050/100000  (109.4s)   
  10100/100000  (109.9s)   
  10150/100000  (110.5s)   
  10200/100000  (110.9s)   
  10250/100000  (111.4s)   
  10300/100000  (112.0s)   
  10350/100000  (112.5s)   
  10400/100000  (113.5s)   
  10450/100000  (113.9s)   
  10500/100000  (114.4s)   
  10550/100000  (114.9s)   
  10600/100000  (115.3s)   
  10650/100000  (115.9s)   
  10700/100000  (116.7s)   
  10750/100000  (117.3s)   
  10800/100000  (118.1s)   
  10850/100000  (118.6s)   
  10900/100000  (118.9s)   
  10950/100000  (119.5s)   
