Self-playing 100000 games with the heuristic solver…

  50/100000  (0.7s)   
  100/100000  (1.0s)   
  150/100000  (2.0s)   
  200/100000  (2.4s)   
  250/100000  (3.1s)   
  300/100000  (3.6s)   
  350/100000  (4.2s)   
  400/100000  (4.7s)   
  450/100000  (5.0s)   
  500/100000  (6.0s)   
  550/100000  (6.6s)   
  600/100000  (7.2s)   
  650/100000  (8.2s)   
  700/100000  (8.9s)   
  750/100000  (9.5s)   
  800/100000  (10.2s)   
  850/100000  (10.5s)   
  900/100000  (11.2s)   
  950/100000  (12.1s)   
  1000/100000  (12.6s)   
  1050/100000  (13.3s)   
  1100/100000  (13.7s)   
  1150/100000  (14.0s)   
  1200/100000  (15.0s)   
  1250/100000  (15.6s)   
  1300/100000  (16.5s)   
  1350/100000  (17.5s)   
  1400/100000  (18.3s)   
  1450/100000  (19.5s)   
  1500/100000  (20.4s)   
  1550/100000  (21.3s)   
  1600/100000  (22.5s)   
  1650/100000  (23.3s)   
  1700/100000  (24.1s)   
  1750/100000  (24.8s)   
  1800/100000  (25.3s)   
  1850/100000  (26.1s)   
  1900/100000  (26.5s)   
  1950/100000  (27.2s)   
  2000/100000  (28.2s)   
  2050/100000  (29.4s)   
  2100/100000  (29.9s)   
  2150/100000  (30.7s)   
  2200/100000  (31.3s)   
  2250/100000  (32.0s)   
  2300/100000  (32.8s)   
  2350/100000  (33.8s)   
  2400/100000  (34.9s)   
  2450/100000  (35.4s)   
  2500/100000  (36.1s)   
  2550/100000  (36.6s)   
  2600/100000  (37.5s)   
  2650/100000  (38.1s)   
  2700/100000  (39.0s)   
  2750/100000  (39.7s)   
  2800/100000  (40.5s)   
  2850/100000  (41.0s)   
  2900/100000  (41.5s)   
  2950/100000  (42.6s)   
  3000/100000  (43.3s)   
  3050/100000  (43.7s)   
  3100/100000  (44.4s)   
  3150/100000  (45.1s)   
  3200/100000  (45.5s)   
  3250/100000  (45.8s)   
  3300/100000  (46.4s)   
  3350/100000  (47.0s)   
  3400/100000  (47.9s)   
  3450/100000  (48.2s)   
  3500/100000  (48.6s)   
  3550/100000  (48.9s)   
  3600/100000  (49.2s)   
  3650/100000  (50.2s)   
  3700/100000  (51.0s)   
  3750/100000  (51.4s)   
  3800/100000  (51.9s)   
  3850/100000  (52.3s)   
  3900/100000  (53.1s)   
  3950/100000  (53.8s)   
  4000/100000  (54.4s)   
  4050/100000  (55.0s)   
  4100/100000  (55.6s)   
  4150/100000  (56.3s)   
  4200/100000  (56.8s)   
  4250/100000  (57.4s)   
  4300/100000  (58.4s)   
  4350/100000  (59.3s)   
  4400/100000  (59.7s)   
  4450/100000  (60.2s)   
  4500/100000  (60.8s)   
  4550/100000  (61.4s)   
  4600/100000  (62.1s)   
  4650/100000  (62.5s)   
  4700/100000  (63.2s)   
  4750/100000  (63.7s)   
  4800/100000  (64.6s)   
  4850/100000  (65.1s)   
  4900/100000  (66.0s)   
  4950/100000  (66.5s)   
  5000/100000  (67.2s)   
  5050/100000  (67.8s)   
  5100/100000  (68.4s)   
  5150/100000  (68.7s)   
  5200/100000  (69.4s)   
  5250/100000  (69.8s)   
  5300/100000  (70.2s)   
  5350/100000  (70.7s)   
  5400/100000  (71.1s)   
  5450/100000  (71.9s)   
  5500/100000  (72.4s)   
  5550/100000  (73.1s)   
  5600/100000  (73.7s)   
  5650/100000  (74.2s)   
  5700/100000  (74.8s)   
  5750/100000  (75.1s)   
  5800/100000  (75.3s)   
  5850/100000  (76.3s)   
  5900/100000  (76.7s)   
  5950/100000  (77.5s)   
  6000/100000  (78.2s)   
  6050/100000  (78.5s)   
  6100/100000  (79.2s)   
  6150/100000  (79.8s)   
  6200/100000  (80.7s)   
  6250/100000  (81.2s)   
  6300/100000  (81.5s)   
  6350/100000  (82.2s)   
  6400/100000  (82.9s)   
  6450/100000  (83.8s)   
  6500/100000  (84.1s)   
  6550/100000  (84.5s)   
  6600/100000  (86.0s)   
  6650/100000  (86.4s)   
  6700/100000  (87.2s)   
  6750/100000  (87.7s)   
  6800/100000  (88.3s)   
  6850/100000  (88.8s)   
  6900/100000  (89.6s)   
  6950/100000  (90.0s)   
